"","scDemultiplex","HTODemux","MULTIseqDemux","GMM_demux"
"HEK-A",4.2831215916335,3.90093130098611,4.24618983681961,4.09722880521132
"HEK-B",3.59058979934874,3.27009863130485,3.56499936867071,3.4749985333513
"HEK-C",3.76192215727744,3.45041087665796,3.73497069725043,3.63832083994351
"K562-A",3.56829355011323,3.31410461486521,3.52807561107719,3.44706087313427
"K562-B",2.9496461662113,2.73713398916066,2.93815694537294,2.87341737388207
"K562-C",3.23501891615643,3.00359806217253,3.22880529374034,3.15825943191535
"KG1-A",2.06124324747423,1.94032015331426,2.10085723409803,2.04744001941942
"KG1-B",1.66511624436813,1.60826996033284,1.90949963826626,1.67999150678182
"KG1-C",1.42708658443922,1.42578973587245,1.77496217980579,1.29963830061409
"THP1-A",2.55943415608727,2.4427266548336,2.58095621972283,2.52782429361013
"THP1-B",2.7529445182077,2.59139000932409,2.76704986721467,2.71114261503417
"THP1-C",2.50288368826239,2.36913734069216,2.51776742556671,2.47828362259128
